dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.7,0.672778,1.03296,-20.206,252.212,5.95177,-2.61315,0,-183.984,58.0564,0,-18.2917,8.41632,-0.0441181,169.236,-186.207,46.8563,
0.7,0.672802,1.03295,-20.1526,252.214,5.93609,-2.60591,0,-183.993,58.0615,0,-18.244,8.39278,-0.0437202,169.252,-186.195,46.8555,
0.7,0.672855,1.03294,-19.9254,252.291,5.86924,-2.57593,0,-184.057,58.0838,0,-18.0396,8.29541,-0.0426305,169.319,-186.238,46.8685,
0.7,0.672885,1.03292,-19.9655,252.478,5.88113,-2.5808,0,-184.208,58.1353,0,-18.0767,8.31053,-0.042372,169.475,-186.348,46.9006,
0.7,0.672915,1.0329,-19.9177,252.477,5.86712,-2.57428,0,-184.215,58.1395,0,-18.0341,8.28908,-0.0419329,169.491,-186.332,46.899,
0.7,0.672947,1.03289,-19.8583,252.54,5.84968,-2.56637,0,-184.268,58.1584,0,-17.9812,8.26276,-0.0414528,169.55,-186.364,46.9094,
0.7,0.673016,1.03288,-19.5216,252.612,5.75061,-2.5224,0,-184.328,58.1795,0,-17.678,8.11913,-0.0399824,169.615,-186.401,46.9214,
0.7,0.673051,1.03286,-19.5869,252.87,5.76986,-2.53057,0,-184.53,58.2474,0,-17.738,8.14449,-0.0397274,169.822,-186.56,46.9664,
0.7,0.673086,1.03285,-19.5405,252.845,5.75619,-2.5243,0,-184.52,58.246,0,-17.6969,8.12347,-0.0392511,169.824,-186.525,46.9602,
0.7,0.673121,1.03284,-19.4789,252.903,5.73809,-2.51599,0,-184.57,58.2636,0,-17.642,8.09606,-0.0387378,169.882,-186.551,46.9695,
0.7,0.673194,1.03283,-19.1926,252.992,5.65388,-2.47836,0,-184.641,58.2882,0,-17.3845,7.97339,-0.0373664,169.959,-186.6,46.9844,
0.7,0.673231,1.03281,-19.2972,253.2,5.68473,-2.49149,0,-184.808,58.3431,0,-17.4801,8.01502,-0.0371725,170.136,-186.719,47.0199,
0.7,0.673267,1.0328,-19.2901,253.168,5.68269,-2.49024,0,-184.79,58.3389,0,-17.4746,8.01027,-0.0367617,170.132,-186.678,47.0123,
0.7,0.673344,1.03279,-18.9407,253.181,5.57978,-2.44462,0,-184.807,58.3453,0,-17.16,7.86136,-0.0352627,170.16,-186.671,47.0132,
0.7,0.673382,1.03277,-19.0567,253.434,5.61394,-2.45929,0,-185.007,58.4105,0,-17.266,7.9076,-0.0350633,170.367,-186.823,47.057,
0.7,0.67342,1.03276,-19.0366,253.376,5.60802,-2.45641,0,-184.972,58.4004,0,-17.2487,7.89738,-0.0346152,170.347,-186.763,47.0446,
0.7,0.673461,1.03275,-18.9973,253.4,5.59643,-2.45105,0,-184.997,58.4094,0,-17.214,7.87898,-0.0340971,170.383,-186.763,47.0474,
0.7,0.673499,1.03274,-18.9758,253.437,5.59006,-2.44798,0,-185.032,58.4217,0,-17.1955,7.86818,-0.0336435,170.427,-186.773,47.0527,
0.7,0.67358,1.03273,-18.7096,253.476,5.51154,-2.41282,0,-185.068,58.4343,0,-16.9562,7.75385,-0.0323115,170.472,-186.783,47.0583,
0.7,0.673626,1.0327,-18.7896,253.657,5.5351,-2.42278,0,-185.215,58.4822,0,-17.0298,7.78471,-0.0319495,170.634,-186.88,47.0885,
0.7,0.673671,1.03269,-18.7663,253.639,5.52817,-2.41942,0,-185.209,58.4807,0,-17.0097,7.77284,-0.0314309,170.641,-186.849,47.0835,
0.7,0.673766,1.03268,-18.41,253.661,5.42312,-2.37269,0,-185.233,58.4887,0,-16.6889,7.62069,-0.0298411,170.676,-186.846,47.0859,
0.7,0.673815,1.03266,-18.5102,253.92,5.4526,-2.38513,0,-185.435,58.5537,0,-16.7809,7.65978,-0.0294886,170.89,-187.001,47.1306,
0.7,0.673868,1.03265,-18.4183,253.863,5.42552,-2.37282,0,-185.4,58.5435,0,-16.6988,7.61918,-0.0287809,170.872,-186.939,47.1182,
0.7,0.67397,1.03264,-18.0591,253.956,5.31951,-2.32543,0,-185.474,58.5682,0,-16.3754,7.46583,-0.027188,170.955,-186.989,47.1337,
0.7,0.674022,1.03261,-18.2094,254.197,5.36369,-2.34431,0,-185.664,58.6306,0,-16.5129,7.52549,-0.0268764,171.16,-187.127,47.1748,
0.7,0.674079,1.0326,-18.1457,254.096,5.34484,-2.33568,0,-185.597,58.6108,0,-16.4564,7.49648,-0.0261971,171.114,-187.033,47.1543,
0.7,0.674132,1.03258,-18.1116,254.131,5.33464,-2.33069,0,-185.629,58.6222,0,-16.4267,7.47992,-0.02561,171.159,-187.038,47.1587,
0.7,0.674239,1.03257,-17.6899,254.177,5.21019,-2.27506,0,-185.67,58.6367,0,-16.0466,7.3008,-0.0239353,171.212,-187.051,47.1654,
0.7,0.674298,1.03254,-17.8422,254.468,5.25487,-2.29407,0,-185.897,58.7134,0,-16.186,7.36086,-0.0235414,171.455,-187.224,47.2156,
0.7,0.674354,1.03253,-17.8297,254.365,5.25101,-2.2917,0,-185.829,58.6949,0,-16.1759,7.35314,-0.0229659,171.407,-187.127,47.1946,
0.7,0.67441,1.03251,-17.8207,254.363,5.248,-2.28985,0,-185.835,58.6995,0,-16.1689,7.34683,-0.0223931,171.429,-187.105,47.1924,
0.7,0.674525,1.03248,-17.6339,254.342,5.19234,-2.26447,0,-185.834,58.7045,0,-16.002,7.2645,-0.0210061,171.461,-187.047,47.1846,
0.7,0.674589,1.03247,-17.5628,254.498,5.17087,-2.2546,0,-185.954,58.7451,0,-15.9388,7.23229,-0.0202927,171.589,-187.141,47.2115,
0.7,0.674648,1.03245,-17.5776,254.546,5.17498,-2.25569,0,-185.997,58.7608,0,-15.9535,7.23559,-0.019709,171.645,-187.154,47.2184,
0.7,0.674768,1.03243,-17.075,254.521,5.02615,-2.18971,0,-185.987,58.7599,0,-15.4998,7.0234,-0.017995,171.654,-187.113,47.2118,
0.7,0.674833,1.0324,-17.2493,254.873,5.07678,-2.21128,0,-186.258,58.8506,0,-15.6594,7.09216,-0.0175495,171.939,-187.328,47.273,
0.7,0.674894,1.03238,-17.2951,254.696,5.08984,-2.21631,0,-186.148,58.8185,0,-15.7022,7.10817,-0.0169867,171.846,-187.174,47.238,
0.7,0.674956,1.03236,-17.2912,254.712,5.08828,-2.21505,0,-186.166,58.8261,0,-15.7,7.10368,-0.0163602,171.88,-187.163,47.2388,
0.7,0.675087,1.03234,183.338,254.684,-53.9409,23.4711,0,-186.154,58.8247,0,166.497,-75.2548,0.159365,171.887,-187.12,47.2316,
0.7,0.675152,1.03231,148.241,418.26,-43.6107,18.9711,0,-305.739,96.6206,0,134.636,-60.8225,0.123227,282.367,-307.225,77.56,
0.7,0.675217,1.03229,119.917,386.821,-35.2739,15.3413,0,-282.768,89.3652,0,108.921,-49.1798,0.0950737,261.182,-284.096,71.7268,
0.7,0.675289,1.03227,96.9603,361.34,-28.5181,12.4006,0,-264.151,83.4846,0,88.0782,-39.7461,0.0727917,244.014,-265.348,66.9988,
0.7,0.675354,1.03225,78.359,340.696,-23.0428,10.0233,0,-249.07,78.7208,0,71.1874,-32.1078,0.0559448,230.11,-250.154,63.1679,
0.7,0.67549,1.03222,63.2301,323.911,-18.5898,8.08317,0,-236.818,74.8558,0,57.454,-25.8849,0.0400163,218.842,-237.766,60.0499,
0.7,0.675563,1.0322,51.0466,310.404,-15.0062,6.52335,0,-226.954,71.741,0,46.3882,-20.8868,0.0300563,209.751,-227.82,57.543,
0.7,0.67563,1.03207,41.152,299.545,-12.0956,5.25713,0,-219.073,69.2685,0,37.4,-16.8306,0.0225943,202.623,-219.658,55.5123,
0.7,0.676149,1.03203,33.0595,290.573,-9.71042,4.21252,0,-212.531,67.2091,0,30.0675,-13.4718,0.00759259,196.623,-213.014,53.8436,
0.7,0.676227,1.03201,26.585,283.403,-7.80762,3.38639,0,-207.294,65.5578,0,24.1817,-10.8274,0.00481002,191.803,-207.728,52.5123,
0.7,0.676307,1.03199,21.3479,277.608,-6.26856,2.71841,0,-203.062,64.2234,0,19.4202,-8.68963,0.00282343,187.915,-203.451,51.4359,
0.7,0.676478,1.03194,17.0549,272.867,-5.0069,2.17024,0,-199.608,63.1391,0,15.5185,-6.93408,0.00051802,184.768,-199.919,50.5521,
0.7,0.676571,1.03192,13.6277,269.086,-4.00013,1.73355,0,-196.848,62.2702,0,12.4016,-5.53714,-0.000347311,182.24,-197.119,49.8488,
0.7,0.676743,1.0319,10.8547,266.031,-3.18517,1.37973,0,-194.619,61.5686,0,9.88051,-4.40507,-0.00142747,180.202,-194.853,49.2804,
0.7,0.676826,1.03186,8.5201,263.458,-2.49967,1.08252,0,-192.748,60.9851,0,7.75637,-3.45564,-0.0015519,178.523,-192.909,48.7981,
0.7,0.676907,1.03183,6.70994,261.472,-1.96816,0.852203,0,-191.3,60.5309,0,6.10917,-2.71996,-0.00154684,177.21,-191.425,48.4276,
0.7,0.677071,1.03181,5.24249,259.867,-1.53706,0.665329,0,-190.13,60.1643,0,4.77422,-2.12268,-0.00173367,176.155,-190.218,48.1274,
0.7,0.677151,1.03176,3.96267,258.463,-1.16155,0.502706,0,-189.119,59.8441,0,3.60912,-1.60357,-0.00150601,175.272,-189.129,47.8617,
0.7,0.677234,1.03174,2.99537,257.409,-0.877761,0.379912,0,-188.354,59.6059,0,2.72845,-1.21143,-0.00128901,174.591,-188.326,47.6636,
0.7,0.677324,1.03172,2.2247,256.577,-0.651772,0.282059,0,-187.75,59.4186,0,2.02671,-0.899167,-0.00108189,174.062,-187.684,47.5064,
0.7,0.677493,1.03169,1.58305,255.884,-0.463578,0.200554,0,-187.25,59.2639,0,1.44252,-0.639059,-0.000935815,173.626,-187.146,47.3753,
0.7,0.677579,1.03164,0.958575,255.201,-0.280641,0.121399,0,-186.766,59.1182,0,0.873585,-0.386732,-0.000616933,173.233,-186.581,47.2428,
0.7,0.677664,1.03161,0.560964,254.78,-0.164195,0.0710209,0,-186.464,59.0258,0,0.511289,-0.226181,-0.000390527,172.986,-186.237,47.1615,
0.7,0.677757,1.03159,0.238436,254.444,-0.0697754,0.0301753,0,-186.223,58.9534,0,0.21735,-0.0960739,-0.000179602,172.792,-185.959,47.0962,
0.7,0.677843,1.03156,-0.0224652,254.176,0.00657266,-0.00284198,0,-186.031,58.898,0,-0.020481,0.00904648,1.81117e-05,172.641,-185.735,47.044,
0.7,0.678015,1.03153,-0.246159,253.948,0.0719825,-0.0311144,0,-185.874,58.8515,0,-0.224472,0.099001,0.000225059,172.525,-185.533,46.9985,
