pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
6.08951,5.75773,0.892472,0.479562,-27.2333,0,0,1.49705,4,-2.26398,2.54791,-1.60064,3.44608,-4,-2.05053,3.11174e-06,-5.93357e-07,4.9736e-07,3.08696e-05,8.82754e-06,-4.85163e-05,
6.08951,5.75773,0.892472,0.479574,-27.255,0,0,1.49968,4,-2.26834,2.55259,-1.60356,3.45269,-4,-2.05415,3.04655e-06,-6.51799e-07,2.21243e-06,-5.4147e-06,-4.85388e-06,0.000142446,
6.0895,5.75772,0.892484,0.479574,-27.2766,0,0,1.50241,4,-2.27275,2.55716,-1.60636,3.45924,-4,-2.05788,2.21787e-06,-5.50037e-07,1.31729e-06,-6.89272e-05,8.46438e-06,-7.44557e-05,
6.08953,5.75771,0.892496,0.479598,-27.2983,0,0,1.50517,4,-2.27696,2.56169,-1.60913,3.46588,-4,-2.06159,2.14319e-06,-7.92663e-07,1.58106e-06,-6.24499e-06,-2.02893e-05,2.20573e-05,
6.08953,5.7577,0.892508,0.479598,-27.3191,0,0,1.50786,4,-2.28116,2.56608,-1.6118,3.4722,-4,-2.06524,1.45811e-06,-6.44841e-07,1.57376e-06,-5.9388e-05,1.28144e-05,-6.32764e-07,
6.0895,5.75767,0.892508,0.47961,-27.3399,0,0,1.51033,4,-2.28541,2.57042,-1.61453,3.47849,-4,-2.0686,1.16088e-06,-8.35673e-07,2.75754e-06,-2.57267e-05,-1.65176e-05,0.000102463,
6.08951,5.75765,0.892556,0.479622,-27.3614,0,0,1.51324,4,-2.28965,2.57474,-1.61702,3.48503,-4,-2.07252,1.14256e-07,-9.16284e-07,2.66617e-06,-8.83769e-05,-6.80652e-06,-7.71463e-06,
6.0895,5.75763,0.892616,0.479646,-27.3825,0,0,1.51593,4,-2.29392,2.57897,-1.61942,3.49148,-4,-2.07622,-2.19483e-07,-7.76593e-07,2.33347e-06,-2.84112e-05,1.1892e-05,-2.8323e-05,
6.08953,5.75761,0.892664,0.47967,-27.4034,0,0,1.51872,4,-2.29799,2.58325,-1.62188,3.49792,-4,-2.08,-9.61531e-07,-3.21521e-07,3.17021e-06,-6.41477e-05,3.93398e-05,7.23337e-05,
6.08951,5.75763,0.892724,0.47967,-27.4248,0,0,1.52146,4,-2.30236,2.58775,-1.62442,3.50435,-4,-2.08387,-1.38667e-06,1.12483e-07,1.37021e-06,-3.59801e-05,3.67309e-05,-0.000152339,
