dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.75,0.571226,0.597716,-77.7644,-60.2457,12.0749,6.6673,-76.5314,-11.0028,8.30425,-58.6474,-77.6312,-3.12958,6.766,-59.1532,10.8204,-6.66537,
0.75,0.571335,0.597967,-94.7894,-44.1711,14.707,8.12926,-93.288,-8.05937,6.087,-43.001,-94.6273,-3.8118,8.24677,-43.3705,7.93135,-4.88662,
0.75,0.57157,0.598089,-74.6582,-59.1772,11.5625,6.40686,-73.4787,-10.7929,8.15349,-57.6105,-74.531,-2.99665,6.49438,-58.105,10.6246,-6.54653,
0.75,0.571688,0.598342,-94.7093,-46.4606,14.6541,8.12996,-93.2148,-8.45199,6.40184,-45.2346,-94.5482,-3.79833,8.23804,-45.6187,8.34297,-5.14001,
0.75,0.571925,0.598597,-83.9411,-49.9028,12.966,7.2101,-82.6196,-9.06984,6.87381,-48.5878,-83.7989,-3.3595,7.3002,-48.9991,8.95891,-5.52048,
0.75,0.572179,0.59872,-74.3409,-60.0215,11.4593,6.38981,-73.1739,-10.9049,8.26611,-58.4408,-74.2155,-2.96959,6.46431,-58.935,10.7741,-6.63964,
0.75,0.572305,0.598993,-92.8031,-42.3617,14.2913,7.97937,-91.3483,-7.68754,5.83262,-41.248,-92.6469,-3.70361,8.06909,-41.5956,7.60157,-4.6857,
0.75,0.572562,0.599241,-80.3961,-49.3892,12.3586,6.91751,-79.1388,-8.95456,6.79859,-48.0925,-80.2613,-3.20306,6.9894,-48.4967,8.85997,-5.4626,
0.75,0.572837,0.599371,-75.2334,-60.5899,11.5404,6.47815,-74.0602,-10.9804,8.33989,-59.0002,-75.1076,-2.99475,6.54012,-59.4957,10.8664,-6.70098,
0.75,0.572972,0.599616,-89.3579,-42.2564,13.6955,7.69729,-87.966,-7.65173,5.81613,-41.1489,-89.2087,-3.55592,7.76781,-41.4944,7.57387,-4.67265,
0.75,0.573259,0.599873,-71.7655,-43.5726,10.9749,6.18642,-70.651,-7.88308,5.99787,-42.4318,-71.6459,-2.85583,6.23854,-42.7882,7.80324,-4.81714,
0.75,0.573402,0.599996,-88.2516,-59.0145,13.4829,7.61016,-86.8829,-10.6723,8.12431,-57.4701,-88.1047,-3.51318,7.67191,-57.9533,10.5637,-6.52351,
0.75,0.573694,0.60012,-65.1638,-57.8647,9.93671,5.62337,-64.1558,-10.4599,7.96704,-56.351,-65.0556,-2.59498,5.66502,-56.8252,10.3526,-6.39555,
0.75,0.573838,0.60037,-88.8964,-43.3656,13.5431,7.67413,-87.5229,-7.83212,5.97265,-42.2322,-88.7488,-3.54226,7.72861,-42.5885,7.74966,-4.79158,
0.75,0.574122,0.600509,-67.6001,-56.1922,10.2838,5.83957,-66.5576,-10.1405,7.74148,-54.7248,-67.4881,-2.69586,5.87753,-55.1866,10.0357,-6.20784,
0.75,0.574274,0.600767,-88.0939,-42.897,13.388,7.61259,-86.7373,-7.73137,5.9129,-41.7782,-87.9481,-3.51453,7.65963,-42.1314,7.65151,-4.73747,
0.75,0.574567,0.600752,-66.5439,-77.6384,10.0949,5.75375,-65.5216,-14.0233,10.6966,-75.6086,-66.4338,-2.65832,5.78653,-76.2543,13.8405,-8.57298,
