pivot_1,pivot_2,pivot_3,pivot_4,pf_x,pf_y,pf_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,f_drive_ref_1,f_drive_ref_2,f_drive_ref_3,f_drive_ref_4,f_drive_ref_5,f_drive_ref_6,f_drive_ref_7,f_drive_ref_8,f_krnl_1,f_krnl_2,f_krnl_3,f_krnl_4,f_krnl_5,f_krnl_6,f_krnl_7,f_krnl_8,f_null_1,f_null_2,f_null_3,f_null_4,f_null_5,f_null_6,f_null_7,f_null_8,f_null_scale_factor,f_null_scaled_1,f_null_scaled_2,f_null_scaled_3,f_null_scaled_4,f_null_scaled_5,f_null_scaled_6,f_null_scaled_7,f_null_scaled_8,f_drv_1,f_drv_2,f_drv_3,f_drv_4,f_drv_5,f_drv_6,f_drv_7,f_drv_8,f_wheel_1,f_wheel_2,f_wheel_3,f_wheel_4,f_wheel_5,f_wheel_6,f_wheel_7,f_wheel_8
4.58303,4.68602,4.94958,5.05152,0,-200,0,-2.47248,0.378499,-1.66195,1.21205,-0.821632,1.97287,-0.286535,2.42472,0,142.294,0,29.0018,0,-260.911,0,-373.043,49.5822,6.44987,49.9826,1.31811,48.6001,-11.7487,47.1522,-16.6333,-155.111,116.769,54.9654,25.1475,105.698,-57.0856,-73.9901,-110.522,1.15327,6.95329e-310,134.666,5.48672e-310,29.0018,1.4822e-323,-65.8349,4.94066e-324,-127.462,49.5822,141.116,49.9826,30.3199,48.6001,-77.5836,47.1522,-144.095,-42.9997,6.58259,-28.9036,21.0791,-14.2893,34.3108,-4.98322,42.169,
4.58377,4.68623,4.94908,5.05057,0,-200,0,-2.45912,0.39213,-1.66023,1.21379,-0.828456,1.96639,-0.299838,2.41232,0,141.476,0,28.7778,0,-260.357,0,-372.001,49.587,6.41301,49.9829,1.30793,48.606,-11.7242,47.168,-16.5887,-154.516,116.46,54.8759,25.2209,105.403,-56.933,-73.7779,-110.228,1.14103,6.95329e-310,132.884,5.48672e-310,28.7778,1.4822e-323,-64.9624,4.94066e-324,-125.774,49.587,139.297,49.9829,30.0858,48.606,-76.6867,47.168,-142.363,-42.7674,6.81966,-28.8735,21.1094,-14.4079,34.198,-5.21458,41.9534,
4.58464,4.68643,4.94842,5.04959,0,-200,0,-2.44426,0.407316,-1.65849,1.21554,-0.836912,1.95838,-0.313619,2.39947,0,140.527,0,28.5533,0,-259.633,0,-370.92,49.5925,6.37023,49.9832,1.29773,48.6137,-11.6922,47.1842,-16.5423,-153.856,116.07,54.7823,25.318,105.06,-56.6461,-73.5251,-109.973,1.12779,6.95329e-310,130.902,5.48672e-310,28.5533,1.4822e-323,-63.8847,4.94066e-324,-124.026,49.5925,137.272,49.9832,29.8511,48.6137,-75.5769,47.1842,-140.569,-42.5088,7.08375,-28.8433,21.1398,-14.555,34.0587,-5.45424,41.73,
4.58569,4.68665,4.9478,5.04847,0,-200,0,-2.42542,0.426536,-1.65666,1.21739,-0.846392,1.94931,-0.331309,2.38284,0,139.367,0,28.3162,0,-258.947,0,-369.694,49.5992,6.31792,49.9834,1.28696,48.621,-11.6619,47.2026,-16.4897,-153.124,115.601,54.6609,25.4958,104.694,-56.4237,-73.2312,-109.637,1.11062,6.95329e-310,128.39,5.48672e-310,28.3162,1.4822e-323,-62.6655,4.94066e-324,-121.766,49.5992,134.707,49.9834,29.6032,48.621,-74.3274,47.2026,-138.256,-42.1812,7.41801,-28.8115,21.1719,-14.7199,33.9011,-5.76189,41.4407,
4.58658,4.68693,4.9472,5.0472,0,-200,0,-2.40989,0.442391,-1.65422,1.21985,-0.853955,1.94215,-0.347686,2.36767,0,138.391,0,28,0,-258.288,0,-368.297,49.6048,6.27393,49.9838,1.27259,48.628,-11.6328,47.2235,-16.4297,-152.358,115.25,54.5428,25.5465,104.32,-56.2957,-72.9758,-109.211,1.09604,6.95329e-310,126.318,5.48672e-310,28,1.4822e-323,-61.7023,4.94066e-324,-119.7,49.6048,132.592,49.9838,29.2725,48.628,-73.3351,47.2235,-136.129,-41.9111,7.69376,-28.769,21.2148,-14.8514,33.7766,-6.04671,41.1768,
4.58766,4.68714,4.94657,5.04597,0,-200,0,-2.39129,0.461378,-1.65248,1.2216,-0.86285,1.93367,-0.365622,2.3509,0,137.205,0,27.7755,0,-257.602,0,-366.939,49.6116,6.22042,49.9841,1.26239,48.6352,-11.6025,47.2438,-16.3714,-151.58,114.764,54.4159,25.7401,103.937,-56.124,-72.6831,-108.815,1.07907,6.95329e-310,123.839,5.48672e-310,27.7755,1.4822e-323,-60.5618,4.94066e-324,-117.419,49.6116,130.059,49.9841,29.0379,48.6352,-72.1643,47.2438,-133.79,-41.5876,8.02396,-28.7389,21.2452,-15.0061,33.6291,-6.35865,40.8851,
4.58859,4.6874,4.94595,5.04482,0,-200,0,-2.37535,0.477652,-1.65025,1.22385,-0.871044,1.9259,-0.381392,2.33621,0,136.177,0,27.4859,0,-256.917,0,-365.673,49.6173,6.17405,49.9844,1.24923,48.6424,-11.5721,47.2626,-16.3171,-150.849,114.368,54.2975,25.827,103.57,-55.9234,-72.411,-108.454,1.06423,6.95329e-310,121.714,5.48672e-310,27.4859,1.4822e-323,-59.5156,4.94066e-324,-115.421,49.6173,127.888,49.9844,28.7352,48.6424,-71.0878,47.2626,-131.738,-41.3104,8.307,-28.7,21.2844,-15.1486,33.4938,-6.6329,40.6297,
4.58963,4.68767,4.94533,5.04342,0,-200,0,-2.35772,0.495642,-1.64801,1.22611,-0.879131,1.91822,-0.399569,2.31934,0,135.029,0,27.1959,0,-256.231,0,-364.131,49.6238,6.1223,49.9847,1.23605,48.6496,-11.5418,47.2854,-16.2508,-150.01,113.924,54.1612,25.9561,103.163,-55.8178,-72.1236,-107.968,1.04777,6.95329e-310,119.366,5.48672e-310,27.1959,1.4822e-323,-58.484,4.94066e-324,-113.125,49.6238,125.488,49.9847,28.4319,48.6496,-70.0258,47.2854,-129.376,-41.0039,8.61985,-28.661,21.3237,-15.2892,33.3604,-6.94902,40.3364,
4.59082,4.68794,4.94475,5.04204,0,-200,0,-2.33734,0.516439,-1.64567,1.22848,-0.888219,1.90952,-0.419945,2.30025,0,133.724,0,26.8927,0,-255.599,0,-362.615,49.631,6.06342,49.9851,1.22227,48.6563,-11.5138,47.3078,-16.1856,-149.166,113.421,54.0038,26.1484,102.757,-55.7265,-71.8001,-107.472,1.02846,6.95329e-310,116.65,5.48672e-310,26.8927,1.4822e-323,-57.3127,4.94066e-324,-110.531,49.631,122.713,49.9851,28.115,48.6563,-68.8265,47.3078,-126.716,-40.6494,8.98154,-28.6203,21.3648,-15.4473,33.209,-7.30339,40.0044,
4.59195,4.68825,4.94418,5.04035,0,-200,0,-2.3184,0.53577,-1.64302,1.23115,-0.895825,1.90229,-0.440737,2.28103,0,132.486,0,26.5497,0,-254.966,0,-360.757,49.6378,6.00752,49.9854,1.20669,48.6629,-11.4859,47.3351,-16.1056,-148.214,112.967,53.8405,26.28,102.313,-55.7689,-71.499,-106.818,1.01026,6.95329e-310,114.126,5.48672e-310,26.5497,1.4822e-323,-56.3411,4.94066e-324,-107.914,49.6378,120.134,49.9854,27.7563,48.6629,-67.827,47.3351,-124.02,-40.32,9.31774,-28.5742,21.4113,-15.5796,33.0833,-7.66499,39.6701,
