p,i,d,error,error_sum,prev_error,control_singal
750,105.5,80,-0.107372,-0.017423,-0.107372,-81.8717
750,105.5,80,-0.107362,-0.0175703,-0.107362,-81.7791
750,105.5,80,-0.107341,-0.0177119,-0.107341,-81.1346
750,105.5,80,-0.10733,-0.0178427,-0.10733,-81.6291
750,105.5,80,-0.10732,-0.0179952,-0.10732,-81.8326
750,105.5,80,-0.107294,-0.018119,-0.107294,-80.5695
750,105.5,80,-0.107283,-0.0182582,-0.107283,-81.7375
750,105.5,80,-0.107276,-0.0183875,-0.107276,-81.9514
750,105.5,80,-0.107267,-0.0185291,-0.107267,-81.8107
750,105.5,80,-0.107239,-0.0186856,-0.107239,-80.8619
750,105.5,80,-0.107227,-0.0188186,-0.107227,-81.6846
750,105.5,80,-0.107215,-0.0189642,-0.107215,-81.7078
750,105.5,80,-0.107186,-0.0190809,-0.107186,-80.2758
750,105.5,80,-0.107176,-0.0192254,-0.107176,-81.767
750,105.5,80,-0.107159,-0.0193531,-0.107159,-81.2727
750,105.5,80,-0.107135,-0.019504,-0.107135,-81.0743
750,105.5,80,-0.107103,-0.019657,-0.107103,-80.5769
750,105.5,80,-0.107082,-0.0197795,-0.107082,-80.9367
750,105.5,80,-0.107055,-0.0199191,-0.107055,-80.7563
750,105.5,80,-0.107017,-0.020072,-0.107017,-80.2674
750,105.5,80,-0.106995,-0.0201926,-0.106995,-80.8157
750,105.5,80,-0.106964,-0.0203148,-0.106964,-80.2099
750,105.5,80,-0.10701,-0.0204581,-0.10701,-85.1519
750,105.5,80,-0.106959,-0.0206053,-0.106959,-79.4154
750,105.5,80,-0.10693,-0.0207255,-0.10693,-80.3187
750,105.5,80,-0.106893,-0.0208511,-0.106893,-79.8573
750,105.5,80,-0.106866,-0.0209909,-0.106866,-80.7119
750,105.5,80,-0.106804,-0.0211488,-0.106804,-78.9812
750,105.5,80,-0.106766,-0.0213057,-0.106766,-80.2421
750,105.5,80,-0.106705,-0.0214562,-0.106705,-78.835
750,105.5,80,-0.106673,-0.0215892,-0.106673,-80.2314
750,105.5,80,-0.106642,-0.0217434,-0.106642,-80.5363
750,105.5,80,-0.10658,-0.0218893,-0.10658,-78.6738
750,105.5,80,-0.106552,-0.0220201,-0.106552,-80.3525
750,105.5,80,-0.106515,-0.0221573,-0.106515,-79.9231
750,105.5,80,-0.106455,-0.0222871,-0.106455,-78.2667
750,105.5,80,-0.106425,-0.022427,-0.106425,-80.3488
750,105.5,80,-0.106396,-0.0225541,-0.106396,-80.2678
750,105.5,80,-0.106368,-0.0226688,-0.106368,-80.0969
750,105.5,80,-0.106323,-0.022839,-0.106323,-79.9182
750,105.5,80,-0.106302,-0.0229612,-0.106302,-80.6879
750,105.5,80,-0.106276,-0.0231179,-0.106276,-80.7343
750,105.5,80,-0.10625,-0.0232339,-0.10625,-80.2109
750,105.5,80,-0.106238,-0.0233828,-0.106238,-81.438
750,105.5,80,-0.10622,-0.0235047,-0.10622,-80.9423
750,105.5,80,-0.106217,-0.0236573,-0.106217,-81.9902
750,105.5,80,-0.106206,-0.0237925,-0.106206,-81.4639
750,105.5,80,-0.106204,-0.0239232,-0.106204,-82.0491
750,105.5,80,-0.106205,-0.0240379,-0.106205,-82.2087
750,105.5,80,-0.106208,-0.0241868,-0.106208,-82.3773
750,105.5,80,-0.106222,-0.0243388,-0.106222,-83.0387
750,105.5,80,-0.106232,-0.0244644,-0.106232,-82.9536
750,105.5,80,-0.106245,-0.0246109,-0.106245,-83.005
750,105.5,80,-0.106285,-0.0247545,-0.106285,-84.7262
750,105.5,80,-0.1063,-0.0248768,-0.1063,-83.3612
750,105.5,80,-0.106324,-0.0250319,-0.106324,-83.7325
750,105.5,80,-0.106378,-0.0251905,-0.106378,-85.2986
750,105.5,80,-0.10641,-0.0253511,-0.10641,-84.2109
750,105.5,80,-0.106475,-0.0254706,-0.106475,-87.1374
750,105.5,80,-0.10651,-0.0256109,-0.10651,-84.7455
750,105.5,80,-0.10655,-0.0257294,-0.10655,-85.515
750,105.5,80,-0.10659,-0.0258809,-0.10659,-84.8852
750,105.5,80,-0.106688,-0.026,-0.106688,-89.8167
750,105.5,80,-0.106738,-0.0261433,-0.106738,-85.7534
750,105.5,80,-0.106783,-0.0262717,-0.106783,-85.9009
750,105.5,80,-0.106836,-0.0264192,-0.106836,-85.9519
750,105.5,80,-0.106949,-0.0265586,-0.106949,-89.9611
750,105.5,80,-0.106998,-0.0266883,-0.106998,-86.2893
750,105.5,80,-0.107054,-0.0268069,-0.107054,-87.202
750,105.5,80,-0.107113,-0.0269528,-0.107113,-86.647
750,105.5,80,-0.10724,-0.0270947,-0.10724,-90.9626
750,105.5,80,-0.107303,-0.0272329,-0.107303,-87.2407
750,105.5,80,-0.107368,-0.027385,-0.107368,-87.0763
750,105.5,80,-0.107507,-0.0275426,-0.107507,-91.1495
750,105.5,80,-0.107574,-0.0276671,-0.107574,-88.2217
750,105.5,80,-0.107641,-0.0278151,-0.107641,-87.5279
750,105.5,80,-0.107783,-0.0279621,-0.107783,-92.1225
750,105.5,80,-0.107854,-0.0281252,-0.107854,-87.6239
750,105.5,80,-0.108008,-0.0282468,-0.108008,-94.9346
750,105.5,80,-0.108083,-0.0284,-0.108083,-88.2681
750,105.5,80,-0.108158,-0.0285252,-0.108158,-89.3578
750,105.5,80,-0.108234,-0.0286764,-0.108234,-88.5453
750,105.5,80,-0.108392,-0.0288235,-0.108392,-93.6488
750,105.5,80,-0.108468,-0.028953,-0.108468,-89.4944
750,105.5,80,-0.108544,-0.0290643,-0.108544,-90.3994
750,105.5,80,-0.108619,-0.0292177,-0.108619,-88.7943
750,105.5,80,-0.108771,-0.0293342,-0.108771,-96.0057
750,105.5,80,-0.108843,-0.0294851,-0.108843,-88.8947
750,105.5,80,-0.108913,-0.0296081,-0.108913,-89.8051
750,105.5,80,-0.108987,-0.0297616,-0.108987,-89.0577
750,105.5,80,-0.109128,-0.0299113,-0.109128,-93.2191
750,105.5,80,-0.109202,-0.0300529,-0.109202,-89.6766
750,105.5,80,-0.109272,-0.0302028,-0.109272,-89.2178
750,105.5,80,-0.109417,-0.030361,-0.109417,-93.2507
750,105.5,80,-0.10949,-0.0305282,-0.10949,-89.1754
750,105.5,80,-0.109647,-0.0306921,-0.109647,-93.8655
750,105.5,80,-0.109723,-0.030813,-0.109723,-91.0548
750,105.5,80,-0.109799,-0.0309651,-0.109799,-90.0445
750,105.5,80,-0.109959,-0.0310855,-0.109959,-97.4057
750,105.5,80,-0.110036,-0.0312293,-0.110036,-90.5454
750,105.5,80,-0.110113,-0.0313548,-0.110113,-91.3008
750,105.5,80,-0.110194,-0.0315104,-0.110194,-90.5882
750,105.5,80,-0.110344,-0.0316314,-0.110344,-97.0068
750,105.5,80,-0.110418,-0.0317831,-0.110418,-90.4826
750,105.5,80,-0.110494,-0.0319071,-0.110494,-91.6514
750,105.5,80,-0.110573,-0.032064,-0.110573,-90.768
750,105.5,80,-0.110727,-0.0322202,-0.110727,-95.1704
750,105.5,80,-0.110808,-0.0323557,-0.110808,-91.8014
750,105.5,80,-0.110885,-0.0325025,-0.110885,-91.2354
750,105.5,80,-0.111037,-0.032628,-0.111037,-97.4982
750,105.5,80,-0.111118,-0.032773,-0.111118,-91.761
750,105.5,80,-0.111193,-0.0329159,-0.111193,-91.5147
750,105.5,80,-0.111267,-0.0330691,-0.111267,-91.2896
750,105.5,80,-0.111424,-0.033225,-0.111424,-96.0367
750,105.5,80,-0.111499,-0.033387,-0.111499,-91.2603
750,105.5,80,-0.111646,-0.0335602,-0.111646,-94.8413
750,105.5,80,-0.111719,-0.0336843,-0.111719,-92.6318
750,105.5,80,-0.111793,-0.033802,-0.111793,-93.0627
750,105.5,80,-0.111863,-0.0339575,-0.111863,-91.479
750,105.5,80,-0.112006,-0.0341162,-0.112006,-95.7132
750,105.5,80,-0.112074,-0.0342434,-0.112074,-92.4532
750,105.5,80,-0.112142,-0.0344021,-0.112142,-91.5729
750,105.5,80,-0.11228,-0.0345472,-0.11228,-96.3615
750,105.5,80,-0.112348,-0.0346837,-0.112348,-92.421
750,105.5,80,-0.11241,-0.0348169,-0.11241,-92.1858
750,105.5,80,-0.112471,-0.0349675,-0.112471,-91.6787
750,105.5,80,-0.112595,-0.0351157,-0.112595,-95.6855
750,105.5,80,-0.112652,-0.0352625,-0.112652,-91.7282
750,105.5,80,-0.112709,-0.0354067,-0.112709,-91.7835
750,105.5,80,-0.112821,-0.0355699,-0.112821,-94.5805
750,105.5,80,-0.112873,-0.0357074,-0.112873,-91.8002
750,105.5,80,-0.112922,-0.0358652,-0.112922,-91.3214
750,105.5,80,-0.113018,-0.035994,-0.113018,-95.2891
750,105.5,80,-0.113064,-0.0361429,-0.113064,-91.3868
750,105.5,80,-0.113105,-0.036266,-0.113105,-91.7062
750,105.5,80,-0.113145,-0.0364326,-0.113145,-90.861
750,105.5,80,-0.113194,-0.0365935,-0.113194,-91.5404
750,105.5,80,-0.11323,-0.0367292,-0.11323,-91.1378
750,105.5,80,-0.11326,-0.0368806,-0.11326,-90.6854
750,105.5,80,-0.113316,-0.0370458,-0.113316,-91.9539
750,105.5,80,-0.113339,-0.0371758,-0.113339,-90.4948
750,105.5,80,-0.113359,-0.0373304,-0.113359,-90.1594
750,105.5,80,-0.113397,-0.0374584,-0.113397,-91.7113
750,105.5,80,-0.113414,-0.0376126,-0.113414,-90.0179
750,105.5,80,-0.11343,-0.0377415,-0.11343,-90.1651
750,105.5,80,-0.113445,-0.0379048,-0.113445,-89.9314
750,105.5,80,-0.113474,-0.0380626,-0.113474,-90.7805
750,105.5,80,-0.113485,-0.038236,-0.113485,-89.7363
750,105.5,80,-0.113504,-0.0383648,-0.113504,-90.4837
750,105.5,80,-0.11351,-0.0385158,-0.11351,-89.5712
750,105.5,80,-0.113516,-0.038685,-0.113516,-89.5446
750,105.5,80,-0.113526,-0.0388127,-0.113526,-89.9408
750,105.5,80,-0.113524,-0.0389585,-0.113524,-89.1464
750,105.5,80,-0.113526,-0.0390868,-0.113526,-89.3663
750,105.5,80,-0.113529,-0.039215,-0.113529,-89.5313
750,105.5,80,-0.113525,-0.0393796,-0.113525,-89.0528
750,105.5,80,-0.113516,-0.0401139,-0.113516,-89.2669
750,105.5,80,-0.113464,-0.04025,-0.113464,-85.8121
750,105.5,80,-0.113452,-0.0404001,-0.113452,-88.6698
750,105.5,80,-0.113424,-0.0406121,-0.113424,-88.1282
750,105.5,80,-0.113383,-0.0408049,-0.113383,-87.4208
750,105.5,80,-0.11336,-0.0409847,-0.11336,-88.2183
750,105.5,80,-0.113366,-0.0411302,-0.113366,-89.7159
750,105.5,80,-0.113339,-0.0412636,-0.113339,-87.5164
750,105.5,80,-0.113318,-0.0414082,-0.113318,-88.0191
750,105.5,80,-0.113275,-0.0415368,-0.113275,-86.3168
750,105.5,80,-0.113251,-0.0416954,-0.113251,-88.005
750,105.5,80,-0.113228,-0.0418648,-0.113228,-88.0937
750,105.5,80,-0.11318,-0.0419895,-0.11318,-85.8175
750,105.5,80,-0.113148,-0.0421524,-0.113148,-87.5428
750,105.5,80,-0.113119,-0.0422774,-0.113119,-87.1789
750,105.5,80,-0.113089,-0.0424405,-0.113089,-87.6372
750,105.5,80,-0.113026,-0.0425914,-0.113026,-85.4844
750,105.5,80,-0.112995,-0.0427336,-0.112995,-87.2499
750,105.5,80,-0.112964,-0.0428859,-0.112964,-87.4361
750,105.5,80,-0.112902,-0.0430467,-0.112902,-85.7194
750,105.5,80,-0.11287,-0.0431681,-0.11287,-86.8121
750,105.5,80,-0.112835,-0.0432911,-0.112835,-86.6406
750,105.5,80,-0.112798,-0.0434389,-0.112798,-86.9226
750,105.5,80,-0.11272,-0.0435723,-0.11272,-83.8937
750,105.5,80,-0.112684,-0.0437235,-0.112684,-86.9715
750,105.5,80,-0.11265,-0.0438601,-0.11265,-86.8532
750,105.5,80,-0.11262,-0.0440116,-0.11262,-87.3385
750,105.5,80,-0.112549,-0.0441883,-0.112549,-85.4383
750,105.5,80,-0.112515,-0.0443168,-0.112515,-86.6987
