pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
0.637932,1.09489,5.52449,4.65888,114.113,-165.011,45.2516,2.56257,0.718246,8.08277,3.74872,0.730458,3.81454,-4.13344,-6.33796,0.00111821,-0.00202545,1.13958e-07,0.0482206,-0.0863912,0.254049,
0.636003,1.08535,5.51979,4.67222,114.163,-165.054,45.2604,2.59132,0.767378,8.1162,3.7909,0.654077,3.75564,-4.14862,-6.31038,0.0011917,-0.00215685,1.5265e-07,0.0494421,-0.0884437,0.262866,
0.634145,1.07446,5.51437,4.68481,114.19,-165.073,45.2671,2.6181,0.818821,8.14432,3.83146,0.567086,3.68652,-4.16372,-6.27922,0.00126637,-0.00229139,1.64119e-07,0.0501431,-0.0903955,0.272067,
0.63182,1.06304,5.50871,4.69852,114.236,-165.111,45.2748,2.64726,0.872639,8.17607,3.87742,0.475842,3.61427,-4.18052,-6.24666,0.00133909,-0.00242181,1.59754e-07,0.0514846,-0.0923773,0.282953,
0.630107,1.05206,5.50382,4.71189,114.264,-165.137,45.2818,2.67664,0.924688,8.21352,3.92726,0.398827,3.55053,-4.19447,-6.21955,0.00140371,-0.00253634,1.28004e-07,0.0530148,-0.0939996,0.293482,
0.628081,1.04184,5.49933,4.72496,114.295,-165.162,45.2891,2.70589,0.973277,8.25276,3.97875,0.328466,3.49159,-4.20792,-6.1955,0.00148266,-0.0026739,1.91819e-07,0.0547915,-0.095516,0.303984,
0.626152,1.03161,5.49486,4.73944,114.34,-165.198,45.2967,2.73623,1.0234,8.29481,4.03292,0.257309,3.4333,-4.22198,-6.16967,0.00156626,-0.00281748,2.15321e-07,0.0564003,-0.0969228,0.313058,
0.623647,1.01907,5.48947,4.75562,114.362,-165.204,45.3008,2.77133,1.08187,8.34327,4.09842,0.172981,3.36111,-4.23739,-6.14021,0.00164898,-0.00295624,2.06027e-07,0.0580839,-0.0974747,0.318661,
0.621598,1.00889,5.48496,4.7713,114.403,-165.231,45.3065,2.80174,1.13184,8.3872,4.15573,0.100833,3.30232,-4.25121,-6.11235,0.00172277,-0.00307764,1.61679e-07,0.0593467,-0.0976826,0.323344,
0.619453,0.998765,5.48051,4.78585,114.435,-165.258,45.3145,2.83099,1.17969,8.42989,4.21259,0.0307215,3.24358,-4.26421,-6.08671,0.0018061,-0.00321306,2.04114e-07,0.060093,-0.0977197,0.32583,
0.617212,0.987644,5.47571,4.80043,114.453,-165.254,45.317,2.86077,1.23013,8.47222,4.2723,-0.0442001,3.17863,-4.27715,-6.0598,0.00189497,-0.00335701,2.34479e-07,0.0607686,-0.0984804,0.331086,
0.614539,0.975947,5.47098,4.8168,114.49,-165.279,45.3235,2.89808,1.28575,8.53117,4.34776,-0.116038,3.11297,-4.29058,-6.03768,0.00198407,-0.00349917,2.3543e-07,0.0624911,-0.0997625,0.340288,
0.611974,0.963699,5.4663,4.83507,114.499,-165.262,45.3236,2.94011,1.34597,8.60156,4.43437,-0.185535,3.04573,-4.30265,-6.01742,0.00206236,-0.00362084,1.80497e-07,0.0649937,-0.101044,0.352585,
0.609386,0.950349,5.46183,4.85253,114.54,-165.289,45.3305,2.99114,1.41313,8.68955,4.53774,-0.247174,2.97715,-4.31453,-6.00991,0.00215882,-0.00376825,2.75311e-07,0.0670188,-0.102479,0.364603,
0.606833,0.940666,5.45769,4.8678,114.569,-165.305,45.3367,3.02463,1.4607,8.7458,4.60833,-0.309699,2.91892,-4.32533,-5.99159,0.00225477,-0.00391282,2.72909e-07,0.068958,-0.103964,0.37539,
0.603885,0.9265,5.45352,4.88686,114.579,-165.28,45.335,3.08988,1.53781,8.86359,4.73974,-0.360956,2.84713,-4.33503,-5.99926,0.00234115,-0.00404037,2.18506e-07,0.0710334,-0.104939,0.384316,
0.601644,0.916937,5.45009,4.90098,114.613,-165.297,45.3408,3.13207,1.58974,8.939,4.82562,-0.407313,2.79307,-4.34353,-5.99778,0.00243736,-0.00418049,2.66512e-07,0.0721643,-0.105156,0.387179,
0.598684,0.904725,5.44657,4.91984,114.652,-165.32,45.3478,3.20308,1.6658,9.07309,4.96606,-0.445985,2.72847,-4.35213,-6.01906,0.00254485,-0.00433454,3.29888e-07,0.0736168,-0.105571,0.393352,
0.595496,0.892441,5.44295,4.93939,114.671,-165.298,45.3482,3.27987,1.74604,9.21894,5.11728,-0.484184,2.65914,-4.36013,-6.04693,0.00265789,-0.00449264,3.57995e-07,0.0762224,-0.106675,0.403399,
0.592332,0.878576,5.43911,4.96245,114.699,-165.308,45.3524,3.38173,1.84777,9.41617,5.31286,-0.51712,2.57979,-4.36794,-6.09775,0.00275184,-0.00461998,2.40871e-07,0.0792129,-0.107422,0.41364,
0.589816,0.866915,5.43631,4.97813,114.724,-165.319,45.3577,3.474,1.93715,9.58881,5.48248,-0.533545,2.51384,-4.37423,-6.15796,0.00285754,-0.0047611,3.02863e-07,0.0808996,-0.108065,0.421164,
0.586244,0.853001,5.43319,4.99827,114.742,-165.295,45.3578,3.60727,2.05926,9.84142,5.72382,-0.541526,2.42863,-4.38168,-6.2589,0.00298758,-0.0049311,4.52812e-07,0.0825808,-0.108028,0.427317,
0.582481,0.838213,5.43006,5.02256,114.774,-165.313,45.3646,3.71674,2.17575,10,5.93096,-0.523095,2.28468,-4.30766,-6.29416,0.00311468,-0.0050936,4.22205e-07,0.0844531,-0.108052,0.431635,
0.578119,0.822501,5.4269,5.04589,114.791,-165.282,45.3635,3.77885,2.2684,10,6.05547,-0.479153,2.08068,-4.14552,-6.24399,0.0032431,-0.00525152,4.16212e-07,0.0874801,-0.107647,0.43937,
0.574428,0.809642,5.42444,5.06643,114.812,-165.287,45.3674,3.83776,2.3516,10,6.16671,-0.421884,1.89248,-3.98679,-6.21122,0.0033446,-0.00537205,2.53631e-07,0.0900416,-0.106979,0.446508,
0.570569,0.796843,5.42211,5.08793,114.839,-165.296,45.3727,3.90518,2.4423,10,6.28682,-0.343536,1.6818,-3.80357,-6.19069,0.00346918,-0.00551396,3.70648e-07,0.0925697,-0.105507,0.452334,
0.566782,0.784368,5.42012,5.10544,114.849,-165.27,45.3723,3.90936,2.48743,10,6.32102,-0.450126,1.62586,-3.84875,-6.14765,0.00361051,-0.00567008,4.61807e-07,0.0942277,-0.104163,0.453029,
0.561485,0.766811,5.4176,5.13218,114.864,-165.286,45.379,3.82902,2.48827,10,6.28111,-0.819363,1.72531,-4.16091,-6.01901,0.00376197,-0.00583184,5.17493e-07,0.0959361,-0.102534,0.455519,
0.556248,0.750009,5.41544,5.15941,114.849,-165.256,45.3767,3.73044,2.46744,10,6.23589,-1.20032,1.85624,-4.48684,-5.85831,0.00390402,-0.00597725,4.39731e-07,0.0985441,-0.100941,0.459829,
0.550795,0.734441,5.41347,5.18306,114.852,-165.265,45.3822,3.0008,1.86876,10,6.63017,-1.14075,1.57659,-3.95899,-5.18324,0.00403918,-0.00611127,3.89548e-07,0.100948,-0.100154,0.465961,
0.546241,0.719844,5.41199,5.20347,114.855,-165.265,45.385,2.95861,1.87836,10,6.57861,-1.44714,1.71815,-4.25511,-5.07115,0.00416053,-0.00622875,3.0874e-07,0.102638,-0.0994285,0.469784,
0.541363,0.70653,5.41066,5.22662,114.848,-165.243,45.3841,2.74421,1.76811,9.47429,6.16373,-1.70502,1.81348,-4.35705,-4.65813,0.00427691,-0.00633853,2.79629e-07,0.104479,-0.0986083,0.474566,
0.537804,0.69433,5.40963,5.24424,114.871,-165.261,45.3902,2.54757,1.66149,8.94851,5.77423,-1.86338,1.86235,-4.35977,-4.27474,0.00440857,-0.00645927,3.52659e-07,0.105871,-0.0971437,0.477432,
0.532028,0.678858,5.40848,5.26717,114.876,-165.268,45.3951,2.30048,1.51774,8.29717,5.29292,-2.04511,1.93563,-4.34853,-3.7854,0.00453037,-0.00656741,2.99281e-07,0.108164,-0.0960887,0.485629,
0.528049,0.665112,5.40762,5.286,114.896,-165.284,45.4012,2.10749,1.40169,7.79125,4.92201,-2.17582,2.00235,-4.32811,-3.39364,0.00468239,-0.0066995,4.63317e-07,0.110212,-0.0958278,0.493397,
0.521829,0.647783,5.4066,5.31158,114.904,-165.291,45.4058,1.85548,1.23929,7.14033,4.44249,-2.32672,2.10423,-4.28334,-2.87357,0.00480821,-0.00680721,3.16178e-07,0.111941,-0.0958802,0.499992,
0.517167,0.634229,5.40599,5.3325,114.89,-165.266,45.4046,1.65821,1.10504,6.63564,4.06899,-2.42842,2.19663,-4.23282,-2.45838,0.00493039,-0.00691167,2.97396e-07,0.112663,-0.0963755,0.502684,
0.512601,0.620927,5.40548,5.35591,114.903,-165.282,45.4108,1.44763,0.954277,6.09913,3.6659,-2.52204,2.30965,-4.16364,-2.00459,0.00507392,-0.00703362,4.07937e-07,0.113614,-0.0965963,0.505456,
0.5077,0.606438,5.40504,5.3767,114.905,-165.292,45.4156,1.26976,0.822892,5.64687,3.33596,-2.59059,2.41513,-4.0912,-1.60917,0.00520192,-0.00714134,3.20951e-07,0.114815,-0.0966825,0.507939,
0.503146,0.593171,5.40474,5.39918,114.867,-165.284,45.4192,1.17367,0.750723,5.40991,3.18161,-2.62307,2.47575,-4.01919,-1.34282,0.00532041,-0.00723933,2.71785e-07,0.116105,-0.0960665,0.510632,
0.499107,0.580456,5.40455,5.41845,114.844,-165.27,45.4188,1.32591,0.878614,5.82463,3.57576,-2.58827,2.36321,-4.00641,-1.51925,0.00543988,-0.00733734,2.75253e-07,0.116792,-0.0958601,0.512737,
0.494661,0.566111,5.40443,5.43764,114.847,-165.288,45.4252,1.4725,1.00707,6.22313,3.96308,-2.56449,2.24668,-3.9996,-1.68779,0.00560705,-0.00747329,5.37695e-07,0.117385,-0.0955348,0.514847,
0.489076,0.548075,5.40441,5.46393,114.828,-165.292,45.4293,1.66438,1.18165,6.74359,4.46824,-2.54591,2.07991,-3.99729,-1.90844,0.00573436,-0.00757538,3.10522e-07,0.117981,-0.0946716,0.516053,
0.48463,0.532891,5.40453,5.48383,114.793,-165.276,45.4289,1.80413,1.31524,7.11971,4.84202,-2.54285,1.94718,-4.00107,-2.06733,0.00590267,-0.00770851,5.3895e-07,0.119173,-0.0943335,0.519731,
