p,i,d,error,error_sum,prev_error,control_singal
750,105.5,80,0.25803,0.085426,0.25803,198.06
750,105.5,80,0.257964,0.0857205,0.257964,197.884
750,105.5,80,0.257831,0.086002,0.257831,192.716
750,105.5,80,0.257761,0.0862598,0.257761,196.787
750,105.5,80,0.257698,0.0865181,0.257698,197.372
750,105.5,80,0.257634,0.0868463,0.257634,198.398
750,105.5,80,0.257571,0.0871544,0.257571,198.127
750,105.5,80,0.257503,0.0874995,0.257503,198.32
750,105.5,80,0.257381,0.0877924,0.257381,193.689
750,105.5,80,0.257321,0.0880569,0.257321,197.651
750,105.5,80,0.257249,0.0883952,0.257249,197.852
750,105.5,80,0.257174,0.0886889,0.257174,196.996
750,105.5,80,0.257115,0.0890373,0.257115,198.768
750,105.5,80,0.257055,0.0893022,0.257055,197.546
750,105.5,80,0.256932,0.089584,0.256932,193.204
750,105.5,80,0.256877,0.089941,0.256877,198.981
750,105.5,80,0.256823,0.0902385,0.256823,198.415
750,105.5,80,0.256767,0.0904982,0.256767,197.615
750,105.5,80,0.256714,0.0908237,0.256714,198.803
750,105.5,80,0.256662,0.0910998,0.256662,198.205
750,105.5,80,0.256609,0.0913834,0.256609,198.27
750,105.5,80,0.256502,0.0916463,0.256502,193.758
750,105.5,80,0.256453,0.0919083,0.256453,198.199
750,105.5,80,0.256461,0.0922319,0.256461,202.554
750,105.5,80,0.25641,0.0925351,0.25641,198.63
750,105.5,80,0.256355,0.0927915,0.256355,197.606
750,105.5,80,0.256304,0.09313,0.256304,199.001
750,105.5,80,0.256254,0.0933962,0.256254,198.192
750,105.5,80,0.256206,0.0936795,0.256206,198.532
750,105.5,80,0.256108,0.094058,0.256108,196.701
750,105.5,80,0.25606,0.0943284,0.25606,198.41
750,105.5,80,0.256009,0.0945868,0.256009,197.882
750,105.5,80,0.255962,0.0949398,0.255962,199.26
750,105.5,80,0.255869,0.0953157,0.255869,196.922
750,105.5,80,0.255823,0.0957072,0.255823,199.569
750,105.5,80,0.255774,0.0959814,0.255774,198.264
750,105.5,80,0.255686,0.0963321,0.255686,196.782
750,105.5,80,0.255641,0.0966138,0.255641,198.697
750,105.5,80,0.255592,0.0968911,0.255592,198.271
750,105.5,80,0.255546,0.0972289,0.255546,199.182
750,105.5,80,0.255455,0.0975318,0.255455,195.729
750,105.5,80,0.255407,0.0978699,0.255407,198.982
750,105.5,80,0.255366,0.0981638,0.255366,198.978
750,105.5,80,0.255323,0.0984192,0.255323,198.489
750,105.5,80,0.255281,0.0987678,0.255281,199.379
750,105.5,80,0.255238,0.0990311,0.255238,198.558
750,105.5,80,0.255192,0.0992937,0.255192,198.289
750,105.5,80,0.255108,0.0995742,0.255108,195.733
750,105.5,80,0.255066,0.0998294,0.255066,198.487
750,105.5,80,0.255021,0.100085,0.255021,198.195
750,105.5,80,0.254977,0.100401,0.254977,199.045
750,105.5,80,0.254934,0.100686,0.254934,198.682
750,105.5,80,0.254889,0.10104,0.254889,199.275
750,105.5,80,0.254841,0.101327,0.254841,198.398
750,105.5,80,0.254755,0.101678,0.254755,196.771
750,105.5,80,0.254711,0.101959,0.254711,198.635
750,105.5,80,0.254663,0.102312,0.254663,199.023
750,105.5,80,0.25462,0.102608,0.25462,198.799
750,105.5,80,0.25453,0.10296,0.25453,196.556
750,105.5,80,0.254481,0.103251,0.254481,198.324
750,105.5,80,0.254437,0.103511,0.254437,198.332
750,105.5,80,0.254393,0.103766,0.254393,198.231
750,105.5,80,0.254349,0.10407,0.254349,198.78
750,105.5,80,0.2543,0.104361,0.2543,198.291
750,105.5,80,0.254209,0.104733,0.254209,196.752
750,105.5,80,0.254159,0.105014,0.254159,198.056
750,105.5,80,0.254113,0.105274,0.254113,198.136
750,105.5,80,0.254068,0.105533,0.254068,198.171
750,105.5,80,0.254022,0.105884,0.254022,198.994
750,105.5,80,0.253975,0.106155,0.253975,198.17
750,105.5,80,0.253878,0.106434,0.253878,194.552
750,105.5,80,0.253833,0.106688,0.253833,198.038
750,105.5,80,0.253787,0.106942,0.253787,197.974
750,105.5,80,0.253737,0.107266,0.253737,198.482
750,105.5,80,0.253691,0.107569,0.253691,198.536
750,105.5,80,0.253646,0.107823,0.253646,198.02
750,105.5,80,0.2536,0.108146,0.2536,198.71
750,105.5,80,0.25355,0.108419,0.25355,197.859
750,105.5,80,0.253504,0.10868,0.253504,198.075
750,105.5,80,0.253415,0.108969,0.253415,195.263
750,105.5,80,0.253363,0.109324,0.253363,198.641
750,105.5,80,0.253316,0.109584,0.253316,197.867
750,105.5,80,0.25327,0.109929,0.25327,198.796
750,105.5,80,0.253222,0.110189,0.253222,197.823
750,105.5,80,0.253122,0.110487,0.253122,194.714
750,105.5,80,0.253077,0.11074,0.253077,197.874
750,105.5,80,0.253027,0.110993,0.253027,197.484
750,105.5,80,0.252981,0.111308,0.252981,198.545
750,105.5,80,0.252936,0.111609,0.252936,198.464
750,105.5,80,0.25289,0.111942,0.25289,198.678
750,105.5,80,0.252845,0.112208,0.252845,198.077
750,105.5,80,0.252796,0.112472,0.252796,197.706
750,105.5,80,0.25271,0.112828,0.25271,196.499
750,105.5,80,0.252665,0.113105,0.252665,198.181
750,105.5,80,0.252616,0.11338,0.252616,197.812
750,105.5,80,0.25257,0.113699,0.25257,198.524
750,105.5,80,0.252525,0.113993,0.252525,198.32
750,105.5,80,0.252429,0.114275,0.252429,194.521
750,105.5,80,0.252385,0.114617,0.252385,198.762
750,105.5,80,0.252343,0.114896,0.252343,198.326
750,105.5,80,0.252295,0.115245,0.252295,198.605
750,105.5,80,0.252206,0.115606,0.252206,196.397
750,105.5,80,0.252162,0.115891,0.252162,198.2
750,105.5,80,0.252115,0.116228,0.252115,198.572
750,105.5,80,0.252017,0.116603,0.252017,196.053
750,105.5,80,0.25197,0.116884,0.25197,197.898
750,105.5,80,0.251918,0.117145,0.251918,197.35
750,105.5,80,0.251871,0.117399,0.251871,197.485
750,105.5,80,0.251822,0.11774,0.251822,198.436
750,105.5,80,0.251775,0.118007,0.251775,197.71
750,105.5,80,0.251673,0.118292,0.251673,194.055
750,105.5,80,0.251625,0.118549,0.251625,197.426
750,105.5,80,0.251577,0.118804,0.251577,197.448
750,105.5,80,0.251527,0.119055,0.251527,197.228
750,105.5,80,0.251477,0.119398,0.251477,198.273
750,105.5,80,0.251423,0.119669,0.251423,197.16
750,105.5,80,0.251374,0.120015,0.251374,198.323
750,105.5,80,0.251269,0.120305,0.251269,193.887
